Book Title,Description,Author,Category /Shelf Code,Volume,Language,Old Shelf Code,OLD Acc No,Publisher,Year of Publication,NEW SHELF CODE,CHECKED,BOOK ID,ISBN,
"Bankim, Tilak, Dayanand",NIL,Sri Aurobindolu,Saints,,Telugu,3,1686,"Sri Aurobindo Ashram, Puducherry, T.N.",1949,ST- Bankim,,7360,,
Be Good,Advice,Swami Ramsukhads,Saints,,ENGLISH,RRB2,3148,GitaPress Gorakpur,2010,ST-BG,,7361,81-293-0037-0,
Benedictory Discourses,Talks,Swami Ramsukhdas,Saints,,English,na,na,"Gita Press, Gorakhpur",2010,ST- SwRD,,7362,,
Bhagavan Sri bharadvaja,NIL,Sri Devi,Saints,,Telugu,NA J-3,3582,"Gurupaduka  Pabliceshans,Ongole",2007,ST- BSD,,7363,,
Bhagawan Satya Sai Baba,The Omni -All,K.Venkata Rao,Saints,,ENGLISH,RRB-2,3096,"Kala Jyothi Process Pvt.Ltd, Hyderabad",1992,ST-SSAI,,7364,,
Bhagawan Sri Satya Sai Baba,By,Geetha Vahini,Saints,,English,5,1607,"The Theosophical Publishing House, Adyar, Madras, India",1952,ST-,,7365,,
Bhagawan Sri Satya Sai Baba,Eternal Charioteer,My life is my Messege,Saints,,English,7,1601,Satya Sai Baba Organisations,1990,ST-SSAI,,7366,,
Bhagawat-Darshanamu,In The Vision Of God,Konda Subba Reddy ,Saints,,Telugu,G6,4402,"Anandashram, Kerala",2014,ST- SwRD,,7367,,
Bhagawat-Vachanamu,Srushti Kramamu- Dani Paramarthamu,Mehar Baba,Saints,,Telugu,NA,3993,"Meher Vignana Parishad, Hyderabad",1998,ST- MB,,7368,,
Bhagawath Anveshamu(In Quest Of God),Charitra,Swami Shivadevananda Giri,Saints,,Telugu,C4,207,"Anand Ashramamu, Kerala",1997,ST- SwR,,7369,,
Bhagawath Darshanamulu,The Vision Of God,Swami Ram Dasu,Saints,,Telugu,C4,253,"Anand Ashramam, Kerala",1994,ST-SWRD,,7370,,
Bhagwan Venkayya Swami Leelamrutam,"Jeevetha Charitra, Part-2, Nitya Parayana Grantham",Shri Sai Srinivas,Saints,,Telugu,C3,3051,"Tejasvi Publications, Guntur & Hyderabad",2007,ST-BVSL,,7371,,
Bhakta Charitra,Part-1,Kalyan,Saints,,Telugu,C5,2302,"Shivaji Press, Secunderabad",1976,ST-BC,,7372,,
Bhakta Shri Jalaram,NIL,S.M. Rajdev,Saints,,English,5,612,"Shobhagchand Mangalii Rajdev, Rajkot",1952,ST-BSJ,,7373,,
Bhakti Ganga,Datta Sai,Venugopala Krishnaya Vandanam,Saints,,Telugu,RRB2,2901,Ramana Kendram Hyd,Na,ST-BG,,7374,,
Bhakti Vijayamu,"Charitra, Part-5",Devraj Dasu,Saints,,Telugu,E1,19,"M. Aadi & Others, Madras",1933,ST-,,7375,,
Bhakti Yoga,Goga Love & Devotion,Swami Nirvedananda,Saints,,English,8,954,"Advaita Ashrama ,Calcutta",1964,ST-SWVI,,7376,,
Bhaktuni Pilupu (Call of the Devotee),Bhagawath Darshanam Lo Next Kaligina Anubhavalu,Swami Ram Dasu,Saints,,Telugu,C4,205,"Anand Ashramamu, Kerala",1996,ST-,,7377,,
Bharateeya Tatva Shastramu,Upanishad,E.Balarama Murthy,Saints,,Telugu,C5,2027,"Vishalanandra Publications,Hyderabad, etc",1999,ST-BTS,,7378,,
Bharateeya Tatva Shastramu,Part-2,Bulusu Venkateswarlu,Saints,,Telugu,C5,2151,"S. Lakshminarayana , TTD, Tirupati",1985,ST-BTS,,7379,,
Bharatha Yuvajanu-lara,Swamy Vivekananda,Tatvananda Swami,Saints,,Telugu,RRB4,2242,"Sri Ramakrishna Mutt, Domalguda,Hyderabad",NA,ST-SwVi,,7380,,
Bharatiya Christava Sodarularaa,Stopping of Religion Converstions,"  Dr. Shri Pathi Sastry,& Others",Saints,,Telugu,C4,2121,"Shri Panduranga Offset Printers, Vijayawada",2003,ST-BCS,,7381,,
Bharatyati,Vyasa Sankalanam,Shivananda Murthy,Saints,,Telugu,C4,2373,"Kalajyothi Prasan (P) Ltd, Hyderabad",2003,ST- SM,,7382,,
Bharthur Hari,Subhashita Ratnaavali,Enugu Lakshmana Kavi,Saints,,Telugu,NA(J3),3122,"J.P.Publications, Vijayawada",2008,ST- ELKA,,7383,,
Bhatruhari Subhashitamulu,Sanskrit Text & Telugu Poetry,NIL,Saints,,Telugu,NA,4322,"Sri Sailaja Publications, Vijayawada",1992,ST-,,7384,,
Bhavan's Book University,,K.M. Munshi & Others,Saints,,English,5,795,"Bharatiya Vidya Bhavan, Bombay",1971,ST-BBU,,7385,,
Bhavan's Book University,"In The Vision of God, Part-1",Swami Ram Das,Saints,,English,5,484,"Bharatiya Vidya Bhavan, Bombay",1963,ST-BBU,,7386,,
Bhavan's Book University,"In The Vision of God, Part-2",Swami Ramdas,Saints,,English,5,2196,"Bharatiya Vidya Bhavan, Bombay",1963,ST-BBU,,7387,,
Bhavan's Book UNiversity,Dr. Ranade's Life of Light,M.S. Deshpande,Saints,,English,5,680,"Bharatiya Vidya Bhavan, Bombay",1963,ST- MSD,,7388,,
Bhavan's Book University ,Gospel of Work,Swami Rama Tirtha,Saints,,English,5,1028,"Bharatiya Vidya Bhavan, Bombay",1963,ST-BBU,,7389,,
Bhogeshwara Maharshi,M. Malikarjuna Aradya,V. B. Gurupu,Saints,,Telugu,6,1671,"Bandar, Satyasadana Press ",1932,ST- BVG,,7390,,
Bhoj Raj Charitramu,Charitra,Vavila Ramaswamy Sastrulu,Saints,,Telugu,E1,850,"The Vavilla Press, Madras",1937,ST-,,7391,,
Bhuvana Vijayamu,Charitra,Shi Dhulipaali Shri Rama Murthy,Saints,,Telugu,C4,3976,Andhra Vishwa Parishattu,1965,ST-BV,,7392,,
Brahma Anubhuti,NIL,Swami Tattva Vidananda Saraswathi,Saints,,Telugu,E3,3130,"Bramha Vidya Kuteeramu, Secunderabad",2004,ST- SwTS,,7393,,
Brahmagyana Aranya La Lo,"Sri Rama Tirtha, Sampoorna Vedanta Saraswatham",Swami Keshava Teertha,Saints, ,Telugu,NA(J2),849,"Sri Rama Teertha Seva Ashramam, Guntur",1949,ST- SwKT,,7394,,
Bramhachari Kuladananda,"Vol-1, Early Life & Training Under Bijoykrishna",Benimadhab Barua,Saints,,English,5,1577,"The Thakurbari Committee, Calcutta, India",1938,ST-BK,,7395,,
Bramhananda Bodhanalu,Jeevetha Upadeshalu,Chiranthananda Swamy,Saints,,Telugu,C6,855,"Shri Ramakrishna Matt, Mylapore, Madras",1952,ST-BB,,7396,,
Bramhanishta Veetraga Paramhamsa,Biography,Swami Dayanand Giriji Maharaj,Saints,,English,5,2885,"Devotees of Swamiju Maharaj, Delhi & Haryana ",2012,ST-BVP,,7397,,
Chaitanya and His Age,By,Rai Bahadur Dinesh Chandra Sen,Saints,,English,5,111,University of Calcutta,1922,ST-CHA,,7398,,
Chaitanya Charitamrita,Krishna Dasa Kaviraja Goswamin,Sanjiv Kumar Chaudhary,Saints,,English,7,392,"Nagendra Kumar Roy, Calcutta",1950,ST-CC,,7399,,
Chaitanya Charitamrita,Sri Krishnadasa Kaviraja Gosvamin,Sanjib Kumar Chauduri,Saints,,English,7,465,"Nagendra Kumar Roy, Calcutta",1940,ST- CC,,7400,,
Chaitanya Charitaraavali,Part-1,Sri K. Venkata Narsaramya,Saints,,Telugu,C1,816,"Aamir Press, Guntur",1951,ST-KVS,,7401,,
Chaitanya Charitavali,6th- Kandamu,Sri. K. Venkata Narasaiah,Saints,,Telugu,E4,2596,"Sadhana Grantha Mandali, Tenali",1986,ST- CC,,7402,,
Chaitanya Charitavali,5th- Kandamu,Sri. K. Venkata Narasaiah,Saints,,Telugu,E4,2596(2nd Copy),"Sadhana Grantha Mandali, Tenali",1984,ST- CC,,7403,,
Chaitanya Charitavali,2nd- Kandamu,Sri. K. Venkata Narasaiah,Saints,,Telugu,E4,2598(3rd Copy),"Sadhana Grantha Mandali, Tenali",1982,ST- CC,,7404,,
Chaitanya Charitavali,3rd- Kandamu,Sri. K. Venkata Narasaiah,Saints,,Telugu,E4,2594(4th Copy),"Sadhana Grantha Mandali, Tenali",1983,ST- CC,,7405,,
Chaitanya Charitavali,6th- Kandamu,Sri. K. Venkata Narasaiah,Saints,,Telugu,E4,2595(5th Copy),"Sadhana Grantha Mandali, Tenali",1984,ST- CC,,7406,,
Chaitanya Charitavali,1st- Kandamu,Sri. K. Venkata Narasaiah,Saints,,Telugu,E4,2592(6th Copy),"Sadhana Grantha Mandali, Tenali",1980,ST- CC,,7407,,
Chaitanya Vignanmu,Dashaavtaralu,Dr. M. Sri Rama Krishna,Saints,,Telugu,E4,3779,"Butumbhara Publications, Vijayawada",2000,ST-CV,,7408,,
Chaitanya's ,Life & Teachings,Jagunath Sarkar,Saints,,English,5,1623,"M.C. Sarkar & Sons, Calcutta, India",1932,ST-CH,,7409,,
Chalam Mithrulu,Jeevitha Charitra,Chalam,Saints,,Telugu,NA,3273,"Aruna Publications, Vijayawada",1977,ST- CH,,7410,,
Cherished Memories,Recollections of devotees,"US Ramachandran, A,Ranganna",Saints,,English,F1,29,"Anandashram, Kanhangad",1998,ST-CM,,7411,,
Chinna Katha,Part-2,Sri Satya Sai Baba,Saints,,Telugu,D6,4395,"Sri Satya Sai Books & Publications Trust, Anantapur Distt",2004,ST- SSB,,7412,,
Chinna Katha,Part-1,Sri Satya Sai Baba,Saints,,Telugu,D6,4396,"Sri Satya Sai Books & Publications Trust, Anantapur Distt",2019,ST- SSAI,,7413,,
Chinna Katha,Part-3,Satya Sai Baba,Saints,,Telugu,I3,4397,"Omkar Offset Printers, Bengaluru",2018,ST- SSAI,,7414,81-7208-248-7/81-7208-542-1,
Chitra Tarangini,"Vedanta, Sanskrutik, Sahitya, & Vyas Part",Sri Y. Srinivas,Saints,,Telugu,C5,3349,"Nirmala Offset Printers, Vijayawada",NA,ST-CT,,7415,,
Collected Poems and Plays,Vol II,Sri Aurobindo,Saints,,English,na,552,"Sri Aurobindo Asram, Pondicherry",1942,ST- AURO,,7416,,
Coming Back,The Science of Reincarnation,A.C. Bhaktivedanta Swami Prabhupada,Saints,,English,5,NA,"The Bhaktivedanta Book Trust, Mumbai, India, Hongkong, Sydney",2001,ST-CB,,7417,0-89213-114-4,
Complete Works of Swami Vivekanada,Vol-IV,Mayavathi Almora,Saints,,english,8,Na,"Advaita Ashrama, Calcutta",1955,ST-,,7418,,
Concentration and Meditation,Meditation,Sri Swami Sivananda,Saints,,English,F3,2823,"The Divine Life Society, Uttarakhand.",2009,ST-CM,,7419,,
Condensed Gospel OF Sri Ramakrishna,M's Own Enlish Version),Swami Tapasyananda,Saints,,English,5,2975,"Sri Ramakrishna Matt, Mylapore, Madras",1978,ST-SWRK,,7420,,
Consciousness and Absolute,Nisargadatta Maharaj,Jean Dunn,Saints,,English,6,3378,U.S.A.,1994,ST-JDC,,7421,81-85300-034-8,
Conversations,The Mother,Sri Aurobindo,Saints,,English,,3200,"Sri Aurobindo Ashram, Pondicherry",1982,ST-AURO,,7422,,
Conversations with ,The Mother,NA,Saints,,ENGLISH,F3,902,"Nalini Kantha Gupta, Pondicherry",1931,ST-,,7423,,
Conversations with the mother,,NA,Saints,,English,F4,908,,,ST-CM,,7424,,
Daasha Kumara Charitra,Andhra Anuvada Tika Sahitam,S. G. Ramaanuja Sharma,Saints,,Telugu,C1,2776,"Madhavi Art Prints, Hyderabad",1977,ST-DKC,,7425,,
"Daiva Darshini, Bramha Sutra Rahasyamu, Adytmika Pushpaguchamulu",NIL,"A.S. Murthy, Sri Sundara Rama Sharma, Sardar Bahadur MaharajJagat Singh",Saints,,Telugu,E3,3176,"Desha Seva Prachuralu,Hyderabad",1990,ST-DD,,7426,,
Dakshinatya Bhaktulu,Charitra,R..Sriramulu,Saints,,Telugu,C2,1523,"Anantapur Printers,Anantapur",1985,ST-DB,,7427,,
Damma Padam,Charitra,Gajjala Malla Reddy,Saints,,Telugu,C4,2851,Ananda Budda Vihara,1998,ST- GMR,,7428,,
Dariya Sahib,Saint of Bihar,K.N. Upadhyaya,Saints,,English,3,NA,"Radha Somi Satsang Beas, Punjab, India",1987,ST- DS,,7429,,
Darsanika Maha Pravachana,Nil,swami Janananda,Saints,,ENGLISH,M7,2180,"SatyanarayanaRaj,Godavari",1931,ST-SwJ,,7430,,
Das Bodha-Sri Samarta Ramdas Swami,NIL,K. Chakradara Rao,Saints,,Telugu,E3,3147,"Sri Vyasaashramam, Chittoor Distt",1961,ST- SRSw,,7431,,
Das Bodha-Sri Samarta Ramdas Swami,NIL,K. Chakradara Rao,Saints,,Telugu,E3,2649,"Sri Vyasaashramam, Chittoor Distt",2004,ST- SRSw,,7432,,
Dasara Discourses 98,,Bhagavan Satya Sai Baba,Saints,,English,,3306,"Sri Satya Sai Publications TRust, Ananthapur",2000,ST- SSAI,,7433,,
Daskhinatya Bhaktulu,Charitra,R. Sriramulu,Saints,,Telugu,C2,511,"Anantapur Printers,Anantapur",1985,ST-DB,,7434,,
Datta Mahima,Charitra,Minna Kanti Gurunatha Sharma,Saints,,Telugu,C3,677,"Panchakshri Press, Guntur",1957,ST-DM,,7435,,
Datta Sai  Kathagana Sudaat,NIL,Shanampudi Adinarayana,Saints,,Telugu,NAJ-3,2447,Sri Sai Samstanam Guntur,2006,ST- SA,,7436,,
Devalaymulu - Tatvavetalu,Charitra,V.T. Sheshacharyulu,Saints,,Telugu,C2,1521,"S. Lakshminarayana , TTD, Tirupati",1985,ST-DT,,7437,,
Devotee's Experience of Sri Sai Baba,"Part-I, II & III",H.H.. Narasimha Swamiji,Saints,,English,5,1612,"Akhanda Sainama Sapthaha Samithi, Hyderabad",1989,ST-SRSAN,,7438,,
Devotees experiences of Sri Sai Baba,Experiences,Pujyasri H.H. Narasimha Swamiji,Saints,,English,F2,2719,"All India Sai Samaj, Chennai",1989,ST-SRSAN,,7439,,
Dilip Kumar Roy,Among The Great,Sir. S. Radhakrishnan,Saints,,English,5,930,"Nalanda Publications, Bombay",1945,ST- DKR,,7440,,
Divam-tho- Sahjeevanam,Sri Rama Krishnula Sanyasa Jeevitha Charitra,Swami Chetananda,Saints,,Telugu,NA(I5),NA,"Sri Rama Krishna Matt, Mylapore,Chennai",2002,ST-,,7441,81-7120-853-3,
Divine Elixir,"Last work of Sukhdev,Sivananda",Mayavathi Almora,Saints,,English,8,1566,"Divine life Society, U.P",1994,ST-SSN,,7442,,
Divine Glory of Sri Viswayogi Viswamji,Sri Viswayogi viswamji,TR. Sri Valluri Jagannadha Rao,Saints,,English,F1,2747,"Vishvamandiram, Guntur",1996,ST-DG,,7443,,
Divine Nectar,NIL,Swami Sivananda,Saints,,English,5,2205,"The Divine Life Society, U.P., Himalayas",1986,ST-DN,,7444,,
Divine Play OF Amma,Initiation As Revelation,Prof. M.Sivaramakrishna,Saints,,English,5,2576,"Sterling Paper Backs, New Delhi",2008,ST-DPA,,7445,978-81-207-3960-4,
Divya Bikshu,Yogi Ram Surat Kumar,Pingali Surya Sundaram,Saints,,Telugu,NA,4251,"Yogi Ram Surat Kumar Trust, T.V. Malai",2016,ST- YRSK,,7446,,
Divya Deepika,Charitra,Shri Aurobindo,Saints,,Telugu,C3,1891,"Shri Aurobinda Society, A.P. Rashtra Committee, Hyderabad",1997,ST-DD,,7447,,
Divya Jeevan Prasagalu-1,Vyakati Bhavitvyam(The Destiny of the Individual),Teneti Purna Chandra Rao,Saints,,Telugu,C3,2230,P. Bramhananda Chary,1998,ST-DJP,,7448,,
Divya Jeevana Adyatma Prashnotari,Charitra,Swami Medanandpuri,Saints,,Telugu,C4,620,"Sri Ratna Printers, Rajamundry",1997,ST-DJAP,,7449,,
Divyanubhutulu,Charitra,A.Kusuma Kumari,Saints,,Telugu,C2,241,"Matrusri Adhyana Parishat, Visakhapatnam",1997,ST-DA,,7450,,
Dr.M.Venkataratnam,1927-2012 Remembering,A.Tribute,Saints,,English,9,na,na,2013,ST- MVR,,7451,,
Dwadasa Suri Charitra,Ramanuja Charitra,M.K.R. Vinayak,Saints,,Telugu,3,NA,"M.K.R. Vinayak, TTD, Tirupati, A.P.",NA,ST-,,7452,,
Eknath ji,NIL,Nivedita Raghunantha Bhide,Saints,,English,7,2285,"Vivekananda Trust,Chennai",2003,ST-NRB,,7453,,
Elements of Yoga Sri Aurobindo,Yoga,Sri Aurobindo ,Saints,,English,F3,532,"Sri Aurobindo Ashram, Pondicherry",1953,ST-AURO,,7454,,
Eshavara Darshanam & Sri Tapovana Charitam,2-Khandamu,Swami Tapovanam,Saints,,Sanskrit,3,73,"Pt. Balrama Sarma, Ayurveda Acharya,Bhavnagar",1947,ST- SwT,,7455,,
Eshwaranubhoothi (Modhati bhagam),God's Experience Vol - 1,Pannala Radhakrishna Sharma,Saints,,Telugu,RRB1,3964,"Ananda Ashram , Kasaragodu Distt, N. Kerala",2002,ST-SwRD,,7456,,
Eshwaranubhoothi (Modhati bhagam),God Experience Vol - 2,Pannala Radhakrishna Sharma,Saints,,Telugu,RRB1,3965(2nd Copy),"Ananda Ashram , Kasaragodu Distt, N. Kerala",2002,ST-EB,,7457,,
Essays on the Gita 2nd Series`,,Sri Aurobindo,Saints,,English,J1,427,"Arya Publishing House, College Street, Calcutta",1949,ST- AURO,,7458,,
Essays on the Gita 2nd Series`,,Sri Aurobindo,Saints,,English,J1,1939,"Arya Publishing House, College Street, Calcutta",1949,ST- AURO,,7459,,
Essays on the Gita 2nd Series`,,Sri Aurobindo,Saints,,English,J1,730,"Arya Publishing House, College Street, Calcutta",1949,ST- AURO,,7460,,
Essence of Yoga,Yoga,Sri Swami Sivananda,Saints,,English,F3,2536,"The Divine Life Society, Uttarakhand.",2002,ST-EY,,7461,,
Essence of Yoga,Yoga,Sri Swami Sivananda,Saints,,English,F3,NA,"The Divine Life Society, Uttarakhand.",1968,ST-EY,,7462,,
Essence of Yoga,Yoga,Sri Swami Sivananda,Saints,,English,F3,39,"The Divine Life Society, Uttarakhand.",1995,ST-EY,,7463,,
Eswara Darsanam,Tapovana Charitam,Smt. T. Annapurna,Saints,,Telugu,C4,1502,"J. Vemalaiyya, Central Chinmaya Mission Trust, Proddatur",1990,ST-,,7464,,
Eternal Values For A Changing Society,"Vol-1, Philosophy & Spirituality",Swami Ranganathananda,Saints,,English,5,2546,"Bharatiya Vidya Bhavan, Bombay",1984,ST-EVCS,,7465,,
Eternal Values For A Changing Society,"Vol-4, Democracy For Total Human Fulfilment",Swani Ranganathananda,Saints,,English,5,3031,"Bharatiya Vidya Bhavan, Bombay",1986,ST- SwR,,7466,,
Eternal Values For A Changing Society,"Vol-2, Great Spiritual Teachers",Swami Ranganathananda,Saints,,English,5,3029,"Bharatiya Vidya Bhavan, Bombay",1985,ST- SwR,,7467,,
Eternal Values For A Changing Society,"Vol-3, Education For Human Excellence",Swami Ranganathananda,Saints,,English,5,3030,"Bharatiya Vidya Bhavan, Bombay",1986,ST- SwR,,7468,,
Eternal Values For A Changing Society,"Vol2, Great Spiritual Teachers",Swami Ranganathananda,Saints,,English,5,2547,"Bharatiya Vidya Bhavan, Bombay",1985,ST- SwR,,7469,,
Eternal Values For A Changing Society,"Vol-4, Democracy For Total Human Fulfilment",Swami Ranganathananda,Saints,,English,5,2548,"Bharatiya Vidya Bhavan, Bombay",1986,ST- SwR,,7470,,
Evolution,,Sri Aurobindo,Saints,,English,,657,"Arya Publishing House, Calcutta",1944,ST-AURO,,7471,,
Explorations into the Eternal,Forays Into the Teaching of Nisargadatta Maharaj,Ramesh S. Balsekhar,Saints,,English,I3,2555,"Chetana Pvt. Ltd, Mumbai",2001,ST- NiMa,,7472,81-85300-032-1,
First Meetings With,Sri Ramakrishna,Swami Prabhayananda,Saints,,English,5,1149,"Sri Ramakrishna Math, Mylapore, Madras",1987,ST-FMW,,7473,,
First Meetings With,Sri Ramakrishna,Swami Prabhayananda,Saints,,English,5,NA,"Sri Ramakrishna Math, Mylapore, Madras",1994,ST-,,7474,81-7120-484-8,
For Seekers of God,Talks of Swami Sivananda,Tr. Swami Vividishananda & other,Saints,,English,F1,3158,,,ST-SG,,7475,,
For Seekers of God,Talks of Shivananda,Swami Vividishanand,Saints,,English,7,780,"Advaita Ashram, Calcutta",1972,ST- SwSi,,7476,,
Forever a Full Moon,Biography,Dr.V.Chandra Mowli,Saints,,English,F2,2790,"Kiran Graphics, Hyderabad",2003,ST-FFM,,7477,,
Founding the life divine the integral yoga of Sri Aurobindo,,Morwenna Donnelly,Saints,,English,,1946,"Jaico Publishing House, Bombay",1957,ST-FID,,7478,,
Four Yogas OF SWAMI VIVEKANANDA,of Swami Vivekananda,Swami Tapasyananda,Saints,,English,F3,3244,"Advaitha Ashrama, Calcutta",1996,ST-SWVI,,7479,,
Fragrant Memories,Remininsces,Indira Devi,Saints,,English,F2,2497,"Bharatiya Vidya Bhavan, Bombay",1993,ST-FM,,7480,,
Sure Ways to Self-Realization,NIL,Swami Satyananda Saraswati,Saints,,English,5,NA,"Bihar School of Yoga , Bihar, India",1980,ST- SwSS,,7481,,
Gayathri Maha vignan,Part-1,Pt. Sriram Sarma Acharya,Saints,,Telugu,C5,2141,"Devi Offset Printers, Vijayawada",2003,ST-GMV,,7482,,
Gayathri Maha vignan,Part-1,Pt. Sriram Sarma Acharya,Saints,,Telugu,C5,2142,"Devi Offset Printers, Vijayawada",2003,ST-GMV,,7483,,
Gayatri Rahasya,Life's golden Secrets,Sri Prabhu Ashrit Swamiji,Saints,,English,F1,2705,"Himalayan Books, New Delhi",1997,ST-GR,,7484,,
Geeta Vahini,(Including Prasnottara Vahini),Sri Satya Sai Baba,Saints,,English,5,1607,"Sri Satya Sai Books & Publications, Prasanthinilayam",1980,ST-GV,,7485,,
Geetha Sandesh,NIL,Konda Subbareddy,Saints,,Telugu,NA,NA,"Anandashramam, kasargod,Kerala",1999,ST-GS,,7486,,
Gems of Truth First Series,NIL,Jayadayal Goyandka,Saints,,English,7,565,"Gita Press, Gorakhpur",1945,ST- JG,,7487,,
Giridari,Adyathmika Masa Patrika,Swami Sundara Chaitanyananda,Saints,,English,7,NA,"Sundara Chaitanya Ashramam, Hyderabad",1990,ST-SSC,,7488,,
Giridhari,Adyathmika Masapatrika,Swami Sundara Chaitanyanand,Saints,,Telugu,7,NA,"Sundara Chaitanya Ashramam, Hyderabad",jan1995Dec1995,ST-SSC,,7489,,
Gita Meditations,NIL,Swami Sivananda,Saints,,English,5,1735,"The Yoga-Vedanta Forest Academy(The Divine Life Society) Rishikesh, U.P.",1963,ST-GM,,7490,,
Glimpses,NIL,Swami Jnananda ,Saints,,English,2,2183,"Sri Rama Jnanamandir Publication League, W.Godavari, A.P.",1959,ST- JNANA,,7491,,
Glimpses of A Great Yogi,NIL,Prof. V. Rangarajan,Saints,,English,5,828,"Sister Nivedita Academy, Madras",1987,ST-GGY,,7492,,
Glimpses of Dayananada,NIL,Chamupati,Saints,,English,5,303,"Sarada Mandir Limited, Delhi",1937,ST-GD,,7493,,
Glimpses of Rajayoga,Yoga,Vimala Thakar,Saints,,English,F3,2487,"Vimal Prakashan Trust, Ahmedabad",1998,ST-VT,,7494,,
God & Divine Incarnations ,BY,Swami Ramakrishnanda,Saints,,English,5,359,"Sri Ramakrishna Matt, Mylapore, Madras",1947,ST-SWRK,,7495,,
God As Mother,NIL,Swami Chidananda,Saints,,English,5,3206,"The Divine Life Society,Himalayas",2006,ST-GMV,,7496,81-7052-090-8 EC-9,
God Experience Vol - 2,God Experience Vol - 2,Pannala Radhakrishna Sarma,Saints,,Telugu,RRB1,3965,"Anand Ashram , Kasaragodu District, North Kerala",2002,ST-,,7497,,
God Experience Vol - 2,NA,Pannala Radhakrishna Sarma,Saints,,Telugu,RRB1,3962,"Anand Ashram , Kasaragodu District, North Kerala",2004,ST-,,7498,,
God Lives in India,NIL,R.K. Karanjia,Saints,,English,5,665,"Sai Andhra Publications, Prasanthi Nilayam, Ananatapur,A.P.",1994,ST-SSAI,,7499,,
God who walked on Earth,Biography,Rangaswamy Parthaswamy,Saints,,English,na,3407,"Sterling Paperbacks, New Delhi",1996,ST- SRSAN,,7500,,
God-Impersonal(Brahman),"And Personal Maya, Jiva,Ego, etc",The President,Saints,,English,5,543,"Advaita Ashram, Himalayas, India",1934,ST-SWRK,,7501,,
Gopala Krishna Gokule,NIL,NA,Saints,,English,7,949,"Sri Ramakrishna Matt, Mylapore, Madras",1912-1928,ST-GKG,,7502,,
Gopalakrisha Gokule,His life and Speeches,John.S Hoylanda,Saints,,English,7,949,"Sri Saraswati Press, Calcutta",1933,ST-GG,,7503,,
Gospel of Sri Ramakrishna,"Vol-1,",The President,Saints,,English,5,694,"Sri Ramakrishna Math, Mylapore, Madras",1911,ST-SWRK,,7504,,
Gospel of Sri Ramakrishna,Vol-2,The President,Saints,,English,5,183,"Sri Ramakrishna Math, Mylapore, Madras",1922,ST-GRK,,7505,,
Great Men Of India,NIL,H. G. Rawlinson,Saints,,English,5,438,"Thomas Nelson & Others, London, New York, Edinburgh  & Paris",NA,ST-GMI,,7506,,
Great Women of India ,The Holy Mother Birth Centenary Memorial,Swami Madvananada & Others,Saints,,English,5,2295,"Advaita AShram, Kolkatta",2001,ST-GWI,,7507,81-85301-30-1,
Growing Within,,Sri Aurobindo & Mother,Saints,,English,,2465,"Sri Aurobindo Ashram, Pondicherry",1997,ST- AURO,,7508,,
Guidance form the GURU,,Swami Tapovanam,Saints,,English,na,na,"Central Chinmaya Mission Trust, Bombay",1976,ST-,,7509,,
Guru,,John Mitchiner,Saints,,English,,3366,Viking,1991,ST- JM,,7510,,
Guru Krupa(Guru's Grace),Mata Krishnabai Swayam Charitra,Smt. Pramila Reddy,Saints,,Telugu,C4,176,"Anand Ashramamu, Kerala",1997,ST- KB,,7511,,
Guru Shishyulu,NIL,Chepyala Ramakrishna rao,Saints,,Telugu,NA,2014,"Srinivasa Art Printers,Kachiguda, Hyderabad",2002,ST- RK,,7512,,
Guru's Grace,Autobiography,Mother Krishna Bai,Saints,,English,F2,2589,"Anandashram, Kanhangad",1964,ST-GG,,7513,,
Guru’s Grace,Mother Krishna Bai,Sri Swami Ramdas,Saints,,English,F1,2755,"Anandashram, Kanhangad",1964,ST-SWR,,7514,,
Guruleela Amrutham,Guru Charitra,Inukapalli Sanjiva Sharma,Saints,,Telugu,C4,2370,"Charminar Art Prints, Hyderabad",1990,ST-,,7515,,
Guruvaayur Krishnayya ,Charitra,Swami Krishna Dasji,Saints,,Telugu,C1,1824,"Shivaji Press, Secunderabad",1981,ST-SKD,,7516,,
Gyana Vahini,12 Prabhodalu,Sri Satya Sai Baba,Saints,,Telugu,NA(J5),2409,"Sri Satya Sai Books & Publishers, Trust,Anantapur Distt",NA,ST-SSAI,,7517,,
Gyana Yogamu,Upanyasamu,K. Tatvaananda Swamy,saints,,Telugu,C6,2076,"Shri Ramakrishna Matt, Mylapore, Madras",1981,ST-SwVi,,7518,,
Gyanan Prasunalu,NIL,Avaduta Leelavathi,Saints,,Telugu,D6,4103,"Sri Ramana Satsangamu, Chittoor Distt.",2015,ST- AL,,7519,,
Gyananda Lekhalu,Part-1,Dr. Gyananda Swami,Saints,,Telugu,NA(G6),2288,"Sri Rama Gynan Mandiram Publications, P.G. Distt",1974,ST-GK,,7520,,
Harishchandra Dwipada,"Charita, Part-1",NIL,Saints,,Telugu,C1,759,NA,NA,ST-NA,,7521,,
Harnath Lekhalu,Part-1,Smt. V. Janki Devi,Saints,,Telugu,C3,977,Shri Kusuma Harnath Ashramam,1978,ST-,,7522,,
Harnath Lekhalu,Letters,Dr. Shankar Shri Rama Rao,Saints,,Telugu,C3,1224,"Mumukshuvu Papers, Yellore.",1977,ST-HL,,7523,,
